|F| is smaller than |a|	smaller(f,a)
Both |c| and x are the same size	samesize(c,x)
|C| and x are both the same size	samesize(c,x)
|C| and X. are both the same size	samesize(c,x)
Both |c| and x are the same size	samesize(c,x)
Both |c| and X. are the same size	samesize(c,x)
Both |c| and X. are the same size	samesize(c,x)
|C| is the same size as x	samesize(c,x)
|C| and x both are the same size	samesize(c,x)
|C| and x are the same size	samesize(c,x)
Z and X. are the same size	samesize(z,x)
Z	samesize(z,x)
Z and x are both the same size	samesize(z,x)
Both z and X. are the same size	samesize(z,x)
Both z and x are the same size	samesize(z,x)
Z and X. are both the same size	samesize(z,x)
Both Z. and x are the same size	samesize(z,x)
Z and x both are the same size	samesize(z,x)
Z. and X. are the same size	samesize(z,x)
Both Z. and X. are the same size	samesize(z,x)
Both Z. and x are the same size	samesize(z,x)
Both Z. and X. are the same size	samesize(z,x)
Z. and x both are the same size	samesize(z,x)
Z. and X. both are the same size	samesize(z,x)
Z and x are the same size	samesize(z,x)
Z. and X. are both the same size	samesize(z,x)
Z. is the same size as x	samesize(z,x)
Z. and x are the same size	samesize(z,x)
Z is the same size as x	samesize(z,x)
Both z and x are the same size	samesize(z,x)
Both z and X. are the same size	samesize(z,x)
Z. and x are both the same size	samesize(z,x)
Z and X. both are the same size	samesize(z,x)
Both z and |f| are the same shape	sameshape(z,f)
Both Z. and |f| are the same shape	sameshape(z,f)
Z and |f| both are the same shape	sameshape(z,f)
Z. and |f| are both the same shape	sameshape(z,f)
Z. and |f| both are the same shape	sameshape(z,f)
Both z and |f| are the same shape	sameshape(z,f)
Z is the same shape as |f|	sameshape(z,f)
Z and |f| are the same shape	sameshape(z,f)
Z. and |f| are the same shape	sameshape(z,f)
Z. is the same shape as |f|	sameshape(z,f)
Both Z. and |f| are the same shape	sameshape(z,f)
Z and |f| are both the same shape	sameshape(z,f)
|A| is to the left of |a|	leftof(a,a)
|B| is to the right of |e|	rightof(b,e)
Z. is a dodecahedron	dodec(z)
Z is a dodecahedron	dodec(z)
|B| is in front of |c|	frontof(b,c)
Z is to the right of x	rightof(z,x)
Z. is to the right of x	rightof(z,x)
|A| is to the right of |f|	rightof(a,f)
|A| likes x	likes(a,x)
X. likes y	likes(x,y)
X likes y	likes(x,y)
Z is smaller than |d|	smaller(z,d)
Z. is smaller than |d|	smaller(z,d)
|B| and |c| both are the same size	samesize(b,c)
|B| and |c| are the same size	samesize(b,c)
|B| and |c| are both the same size	samesize(b,c)
|B| is the same size as |c|	samesize(b,c)
Both |b| and |c| are the same size	samesize(b,c)
Both |b| and |c| are the same size	samesize(b,c)
X. is in back of |b|	backof(x,b)
X is in back of |b|	backof(x,b)
|F| and |f| both are the same size	samesize(f,f)
|F| is the same size as |f|	samesize(f,f)
Both |f| and |f| are the same size	samesize(f,f)
|F| and |f| are both the same size	samesize(f,f)
|F| and |f| are the same size	samesize(f,f)
Both |f| and |f| are the same size	samesize(f,f)
|C| is a dodecahedron	dodec(c)
|F| is to the left of y	leftof(f,y)
|F| and y both are in the same column	samecol(f,y)
Both |f| and Y. are in the same column	samecol(f,y)
Both |f| and y are in the same column	samecol(f,y)
|F| and Y. are in the same column	samecol(f,y)
|F| and y are in the same column	samecol(f,y)
Both |f| and y are in the same column	samecol(f,y)
|F| and Y. are both in the same column	samecol(f,y)
|F| and y are both in the same column	samecol(f,y)
|F| and Y. both are in the same column	samecol(f,y)
|F| is in the same column as y	samecol(f,y)
Both |f| and Y. are in the same column	samecol(f,y)
|B| is the same size as |d|	samesize(b,d)
|B| and |d| are both the same size	samesize(b,d)
Both |b| and |d| are the same size	samesize(b,d)
|B| and |d| both are the same size	samesize(b,d)
|B| and |d| are the same size	samesize(b,d)
Both |b| and |d| are the same size	samesize(b,d)
|D| and |e| are both the same shape	sameshape(d,e)
|D| and |e| are the same shape	sameshape(d,e)
|D| and |e| both are the same shape	sameshape(d,e)
Both |d| and |e| are the same shape	sameshape(d,e)
Both |d| and |e| are the same shape	sameshape(d,e)
|D| is the same shape as |e|	sameshape(d,e)
|A| and Y. are both in the same column	samecol(a,y)
|A| and Y. both are in the same column	samecol(a,y)
Both |a| and Y. are in the same column	samecol(a,y)
|A| and Y. are in the same column	samecol(a,y)
|A| and y both are in the same column	samecol(a,y)
|A| and y are in the same column	samecol(a,y)
Both |a| and y are in the same column	samecol(a,y)
Both |a| and y are in the same column	samecol(a,y)
Both |a| and Y. are in the same column	samecol(a,y)
|A| is in the same column as y	samecol(a,y)
|A| and y are both in the same column	samecol(a,y)
Z is to the right of |d|	rightof(z,d)
Z. is to the right of |d|	rightof(z,d)
|F| is larger than |d|	larger(f,d)
Both X. and |f| are in the same row	samerow(x,f)
X and |f| are in the same row	samerow(x,f)
Both x and |f| are in the same row	samerow(x,f)
X. and |f| are in the same row	samerow(x,f)
X and |f| both are in the same row	samerow(x,f)
X. and |f| both are in the same row	samerow(x,f)
X. is in the same row as |f|	samerow(x,f)
Both x and |f| are in the same row	samerow(x,f)
X. and |f| are both in the same row	samerow(x,f)
Both X. and |f| are in the same row	samerow(x,f)
X and |f| are both in the same row	samerow(x,f)
X is in the same row as |f|	samerow(x,f)
|D| likes |e|	likes(d,e)
X is in front of |b|	frontof(x,b)
X. is in front of |b|	frontof(x,b)
|B| likes x	likes(b,x)
Y is to the right of |e|	rightof(y,e)
Y. is to the right of |e|	rightof(y,e)
|F| likes x	likes(f,x)
Both |a| and |c| are in the same row	samerow(a,c)
|A| and |c| are both in the same row	samerow(a,c)
|A| is in the same row as |c|	samerow(a,c)
|A| and |c| are in the same row	samerow(a,c)
Both |a| and |c| are in the same row	samerow(a,c)
|A| and |c| both are in the same row	samerow(a,c)
|A| and |d| are both in the same row	samerow(a,d)
Both |a| and |d| are in the same row	samerow(a,d)
|A| and |d| both are in the same row	samerow(a,d)
|A| and |d| are in the same row	samerow(a,d)
Both |a| and |d| are in the same row	samerow(a,d)
|A| is in the same row as |d|	samerow(a,d)
|F| is to the right of y	rightof(f,y)
|D| is to the right of y	rightof(d,y)
|B| is in back of x	backof(b,x)
|B| is smaller than |d|	smaller(b,d)
|D| is the same size as |b|	samesize(d,b)
|D| and |b| are the same size	samesize(d,b)
|D| and |b| both are the same size	samesize(d,b)
|D| and |b| are both the same size	samesize(d,b)
Both |d| and |b| are the same size	samesize(d,b)
Both |d| and |b| are the same size	samesize(d,b)
|D| is smaller than y	smaller(d,y)
|E| is in back of x	backof(e,x)
|F| adjoins x	adjoins(f,x)
|B| likes y	likes(b,y)
Both |d| and |f| are in the same row	samerow(d,f)
|D| and |f| both are in the same row	samerow(d,f)
Both |d| and |f| are in the same row	samerow(d,f)
|D| and |f| are in the same row	samerow(d,f)
|D| is in the same row as |f|	samerow(d,f)
|D| and |f| are both in the same row	samerow(d,f)
|E| is the same shape as |e|	sameshape(e,e)
|E| and |e| both are the same shape	sameshape(e,e)
Both |e| and |e| are the same shape	sameshape(e,e)
|E| and |e| are the same shape	sameshape(e,e)
Both |e| and |e| are the same shape	sameshape(e,e)
|E| and |e| are both the same shape	sameshape(e,e)
|B| is a cube	cube(b)
|E| likes x	likes(e,x)
X is smaller than |d|	smaller(x,d)
X. is smaller than |d|	smaller(x,d)
|C| is in front of |c|	frontof(c,c)
|D| is to the left of |a|	leftof(d,a)
|D| adjoins |a|	adjoins(d,a)
Z adjoins |a|	adjoins(z,a)
Z. adjoins |a|	adjoins(z,a)
|F| is in back of |c|	backof(f,c)
Both |e| and |e| are the same size	samesize(e,e)
|E| and |e| are both the same size	samesize(e,e)
|E| and |e| are the same size	samesize(e,e)
Both |e| and |e| are the same size	samesize(e,e)
|E| is the same size as |e|	samesize(e,e)
|E| and |e| both are the same size	samesize(e,e)
|B| is larger than |f|	larger(b,f)
Both |b| and |b| are the same shape	sameshape(b,b)
|B| and |b| are both the same shape	sameshape(b,b)
Both |b| and |b| are the same shape	sameshape(b,b)
|B| and |b| both are the same shape	sameshape(b,b)
|B| is the same shape as |b|	sameshape(b,b)
|B| and |b| are the same shape	sameshape(b,b)
|F| is larger than x	larger(f,x)
|C| is in front of x	frontof(c,x)
Both |d| and Y. are in the same row	samerow(d,y)
|D| and y are both in the same row	samerow(d,y)
Both |d| and y are in the same row	samerow(d,y)
Both |d| and Y. are in the same row	samerow(d,y)
|D| is in the same row as y	samerow(d,y)
|D| and y are in the same row	samerow(d,y)
|D| and y both are in the same row	samerow(d,y)
|D| and Y. both are in the same row	samerow(d,y)
Both |d| and y are in the same row	samerow(d,y)
|D| and Y. are both in the same row	samerow(d,y)
|D| and Y. are in the same row	samerow(d,y)
Both |b| and |e| are in the same column	samecol(b,e)
|B| and |e| are in the same column	samecol(b,e)
|B| is in the same column as |e|	samecol(b,e)
|B| and |e| are both in the same column	samecol(b,e)
|B| and |e| both are in the same column	samecol(b,e)
Both |b| and |e| are in the same column	samecol(b,e)
|C| likes |f|	likes(c,f)
Y and |f| are both in the same row	samerow(y,f)
Both Y. and |f| are in the same row	samerow(y,f)
Y. and |f| are both in the same row	samerow(y,f)
Y is in the same row as |f|	samerow(y,f)
Both y and |f| are in the same row	samerow(y,f)
Y. is in the same row as |f|	samerow(y,f)
Y. and |f| both are in the same row	samerow(y,f)
Both Y. and |f| are in the same row	samerow(y,f)
Y. and |f| are in the same row	samerow(y,f)
Both y and |f| are in the same row	samerow(y,f)
Y and |f| are in the same row	samerow(y,f)
Y and |f| both are in the same row	samerow(y,f)
Y. is a cube	cube(y)
Y is a cube	cube(y)
Both |a| and |a| are the same size	samesize(a,a)
|A| and |a| are both the same size	samesize(a,a)
|A| and |a| are the same size	samesize(a,a)
Both |a| and |a| are the same size	samesize(a,a)
|A| and |a| both are the same size	samesize(a,a)
|A| is the same size as |a|	samesize(a,a)
Y is to the left of |b|	leftof(y,b)
Y. is to the left of |b|	leftof(y,b)
|D| is larger than |a|	larger(d,a)
|D| is in back of |e|	backof(d,e)
|A| is in back of y	backof(a,y)
|C| and |a| both are the same size	samesize(c,a)
|C| and |a| are both the same size	samesize(c,a)
|C| is the same size as |a|	samesize(c,a)
|C| and |a| are the same size	samesize(c,a)
Both |c| and |a| are the same size	samesize(c,a)
Both |c| and |a| are the same size	samesize(c,a)
Y is in front of |b|	frontof(y,b)
Y. is in front of |b|	frontof(y,b)
|D| and z both are in the same column	samecol(d,z)
|D| and z are in the same column	samecol(d,z)
Both |d| and z are in the same column	samecol(d,z)
Both |d| and Z. are in the same column	samecol(d,z)
Both |d| and Z. are in the same column	samecol(d,z)
Both |d| and z are in the same column	samecol(d,z)
|D| and Z. are both in the same column	samecol(d,z)
|D| and Z. both are in the same column	samecol(d,z)
|D| and z are both in the same column	samecol(d,z)
|D| and Z. are in the same column	samecol(d,z)
|F| is medium	medium(f)
X. and |e| both are in the same column	samecol(x,e)
X. and |e| are in the same column	samecol(x,e)
X and |e| both are in the same column	samecol(x,e)
X. and |e| are both in the same column	samecol(x,e)
Both X. and |e| are in the same column	samecol(x,e)
Both X. and |e| are in the same column	samecol(x,e)
X and |e| are both in the same column	samecol(x,e)
Both x and |e| are in the same column	samecol(x,e)
X is in the same column as |e|	samecol(x,e)
X. is in the same column as |e|	samecol(x,e)
X and |e| are in the same column	samecol(x,e)
Both x and |e| are in the same column	samecol(x,e)
Y is the same shape as y	sameshape(y,y)
Y. and Y. are both the same shape	sameshape(y,y)
Y and Y. both are the same shape	sameshape(y,y)
Y and y are both the same shape	sameshape(y,y)
Y and Y. are both the same shape	sameshape(y,y)
Y. is the same shape as y	sameshape(y,y)
Both Y. and y are the same shape	sameshape(y,y)
Y. and y both are the same shape	sameshape(y,y)
Y. and y are the same shape	sameshape(y,y)
Both y and y are the same shape	sameshape(y,y)
Y and y both are the same shape	sameshape(y,y)
Both Y. and Y. are the same shape	sameshape(y,y)
Y. and y are both the same shape	sameshape(y,y)
Both y and y are the same shape	sameshape(y,y)
Y and Y. are the same shape	sameshape(y,y)
Both y and Y. are the same shape	sameshape(y,y)
Y. and Y. are the same shape	sameshape(y,y)
Y	sameshape(y,y)
Both Y. and Y. are the same shape	sameshape(y,y)
Y and y are the same shape	sameshape(y,y)
Y. and Y. both are the same shape	sameshape(y,y)
Both y and Y. are the same shape	sameshape(y,y)
Both Y. and y are the same shape	sameshape(y,y)
Z. is in front of |a|	frontof(z,a)
Z is in front of |a|	frontof(z,a)
X. is larger than |f|	larger(x,f)
X is larger than |f|	larger(x,f)
|B| and |e| both are the same shape	sameshape(b,e)
|B| and |e| are both the same shape	sameshape(b,e)
|B| and |e| are the same shape	sameshape(b,e)
Both |b| and |e| are the same shape	sameshape(b,e)
Both |b| and |e| are the same shape	sameshape(b,e)
|B| is the same shape as |e|	sameshape(b,e)
|A| adjoins |d|	adjoins(a,d)
Y likes |b|	likes(y,b)
Y. likes |b|	likes(y,b)
X	smaller(x,y)
X is smaller than y	smaller(x,y)
X. is smaller than y	smaller(x,y)
Z is happy	happy(z)
Z. is happy	happy(z)
Z. is in back of |e|	backof(z,e)
Z is in back of |e|	backof(z,e)
Y. is to the right of y	rightof(y,y)
Y is to the right of y	rightof(y,y)
|A| and |b| are in the same column	samecol(a,b)
|A| is in the same column as |b|	samecol(a,b)
|A| and |b| both are in the same column	samecol(a,b)
|A| and |b| are both in the same column	samecol(a,b)
Both |a| and |b| are in the same column	samecol(a,b)
Both |a| and |b| are in the same column	samecol(a,b)
|B| adjoins y	adjoins(b,y)
|E| likes y	likes(e,y)
|D| is smaller than |a|	smaller(d,a)
|E| is to the right of |b|	rightof(e,b)
Z. is in front of x	frontof(z,x)
Z is in front of x	frontof(z,x)
Y likes |a|	likes(y,a)
Y. likes |a|	likes(y,a)
Both Y. and |a| are the same shape	sameshape(y,a)
Y. and |a| are the same shape	sameshape(y,a)
Y and |a| are the same shape	sameshape(y,a)
Y is the same shape as |a|	sameshape(y,a)
Both Y. and |a| are the same shape	sameshape(y,a)
Y and |a| are both the same shape	sameshape(y,a)
Y. is the same shape as |a|	sameshape(y,a)
Y. and |a| are both the same shape	sameshape(y,a)
Y and |a| both are the same shape	sameshape(y,a)
Both y and |a| are the same shape	sameshape(y,a)
Y. and |a| both are the same shape	sameshape(y,a)
Both y and |a| are the same shape	sameshape(y,a)
|C| is the same shape as |b|	sameshape(c,b)
|C| and |b| are both the same shape	sameshape(c,b)
|C| and |b| are the same shape	sameshape(c,b)
|C| and |b| both are the same shape	sameshape(c,b)
Both |c| and |b| are the same shape	sameshape(c,b)
Both |c| and |b| are the same shape	sameshape(c,b)
|D| and |e| both are the same size	samesize(d,e)
|D| and |e| are the same size	samesize(d,e)
Both |d| and |e| are the same size	samesize(d,e)
|D| is the same size as |e|	samesize(d,e)
|D| and |e| are both the same size	samesize(d,e)
Both |d| and |e| are the same size	samesize(d,e)
|A| likes |d|	likes(a,d)
|F| and |a| both are the same shape	sameshape(f,a)
|F| and |a| are the same shape	sameshape(f,a)
Both |f| and |a| are the same shape	sameshape(f,a)
|F| and |a| are both the same shape	sameshape(f,a)
|F| is the same shape as |a|	sameshape(f,a)
Both |f| and |a| are the same shape	sameshape(f,a)
|D| adjoins x	adjoins(d,x)
Y. is medium	medium(y)
Y is medium	medium(y)
Both z and |f| are in the same column	samecol(z,f)
Z and |f| are both in the same column	samecol(z,f)
Z and |f| are in the same column	samecol(z,f)
Z. and |f| are both in the same column	samecol(z,f)
Z. and |f| both are in the same column	samecol(z,f)
Both Z. and |f| are in the same column	samecol(z,f)
Both z and |f| are in the same column	samecol(z,f)
Both Z. and |f| are in the same column	samecol(z,f)
Z and |f| both are in the same column	samecol(z,f)
Z. is in the same column as |f|	samecol(z,f)
Z. and |f| are in the same column	samecol(z,f)
Z is in the same column as |f|	samecol(z,f)
|F| adjoins |c|	adjoins(f,c)
X is larger than |a|	larger(x,a)
X. is larger than |a|	larger(x,a)
|A| is the same shape as |e|	sameshape(a,e)
|A| and |e| both are the same shape	sameshape(a,e)
Both |a| and |e| are the same shape	sameshape(a,e)
|A| and |e| are both the same shape	sameshape(a,e)
Both |a| and |e| are the same shape	sameshape(a,e)
|A| and |e| are the same shape	sameshape(a,e)
X is small	small(x)
X. is small	small(x)
|C| is smaller than |d|	smaller(c,d)
Z. is to the left of |b|	leftof(z,b)
Z is to the left of |b|	leftof(z,b)
Both x and |a| are the same shape	sameshape(x,a)
X. and |a| are both the same shape	sameshape(x,a)
X and |a| are both the same shape	sameshape(x,a)
Both x and |a| are the same shape	sameshape(x,a)
X. and |a| both are the same shape	sameshape(x,a)
X and |a| both are the same shape	sameshape(x,a)
Both X. and |a| are the same shape	sameshape(x,a)
X and |a| are the same shape	sameshape(x,a)
X. and |a| are the same shape	sameshape(x,a)
X. is the same shape as |a|	sameshape(x,a)
X is the same shape as |a|	sameshape(x,a)
Both X. and |a| are the same shape	sameshape(x,a)
Z. is in the same column as |b|	samecol(z,b)
Z. and |b| are both in the same column	samecol(z,b)
Z. and |b| both are in the same column	samecol(z,b)
Both Z. and |b| are in the same column	samecol(z,b)
Both z and |b| are in the same column	samecol(z,b)
Both z and |b| are in the same column	samecol(z,b)
Z. and |b| are in the same column	samecol(z,b)
Z and |b| both are in the same column	samecol(z,b)
Z and |b| are both in the same column	samecol(z,b)
Z and |b| are in the same column	samecol(z,b)
Z is in the same column as |b|	samecol(z,b)
Both Z. and |b| are in the same column	samecol(z,b)
|D| is smaller than |b|	smaller(d,b)
|D| likes y	likes(d,y)
X and z are in the same row	samerow(x,z)
X. and Z. both are in the same row	samerow(x,z)
Both x and Z. are in the same row	samerow(x,z)
X and z both are in the same row	samerow(x,z)
X and Z. are both in the same row	samerow(x,z)
Both X. and Z. are in the same row	samerow(x,z)
X. and z are both in the same row	samerow(x,z)
X and Z. are in the same row	samerow(x,z)
Both X. and z are in the same row	samerow(x,z)
X. and z both are in the same row	samerow(x,z)
X. and Z. are both in the same row	samerow(x,z)
X. and z are in the same row	samerow(x,z)
Both x and z are in the same row	samerow(x,z)
X and Z. both are in the same row	samerow(x,z)
Both x and z are in the same row	samerow(x,z)
Both x and Z. are in the same row	samerow(x,z)
Both X. and z are in the same row	samerow(x,z)
Both X. and Z. are in the same row	samerow(x,z)
X. and Z. are in the same row	samerow(x,z)
X and z are both in the same row	samerow(x,z)
Z is to the left of |e|	leftof(z,e)
Z. is to the left of |e|	leftof(z,e)
Both Z. and |e| are in the same column	samecol(z,e)
Both Z. and |e| are in the same column	samecol(z,e)
Z and |e| are both in the same column	samecol(z,e)
Z is in the same column as |e|	samecol(z,e)
Z. and |e| are both in the same column	samecol(z,e)
Both z and |e| are in the same column	samecol(z,e)
Z. and |e| both are in the same column	samecol(z,e)
Z. and |e| are in the same column	samecol(z,e)
Z and |e| both are in the same column	samecol(z,e)
Z. is in the same column as |e|	samecol(z,e)
Both z and |e| are in the same column	samecol(z,e)
Z and |e| are in the same column	samecol(z,e)
Both Y. and Z. are the same shape	sameshape(y,z)
Both y and z are the same shape	sameshape(y,z)
Y. and z are both the same shape	sameshape(y,z)
Both Y. and Z. are the same shape	sameshape(y,z)
Y. and Z. are the same shape	sameshape(y,z)
Y. and z are the same shape	sameshape(y,z)
Y. and z both are the same shape	sameshape(y,z)
Y. and Z. both are the same shape	sameshape(y,z)
Both Y. and z are the same shape	sameshape(y,z)
Both y and Z. are the same shape	sameshape(y,z)
Both y and z are the same shape	sameshape(y,z)
Y. and Z. are both the same shape	sameshape(y,z)
Y and z both are the same shape	sameshape(y,z)
Y and z are the same shape	sameshape(y,z)
Y and Z. are both the same shape	sameshape(y,z)
Y and Z. both are the same shape	sameshape(y,z)
Both Y. and z are the same shape	sameshape(y,z)
Y and Z. are the same shape	sameshape(y,z)
Both y and Z. are the same shape	sameshape(y,z)
Y and z are both the same shape	sameshape(y,z)
|A| is in front of |e|	frontof(a,e)
|F| is in front of |c|	frontof(f,c)
|D| and X. are in the same row	samerow(d,x)
Both |d| and x are in the same row	samerow(d,x)
Both |d| and X. are in the same row	samerow(d,x)
|D| and X. both are in the same row	samerow(d,x)
|D| is in the same row as x	samerow(d,x)
|D| and x are both in the same row	samerow(d,x)
Both |d| and X. are in the same row	samerow(d,x)
Both |d| and x are in the same row	samerow(d,x)
|D| and x both are in the same row	samerow(d,x)
|D| and X. are both in the same row	samerow(d,x)
|D| and x are in the same row	samerow(d,x)
|F| is smaller than |d|	smaller(f,d)
|B| and |b| are both in the same column	samecol(b,b)
Both |b| and |b| are in the same column	samecol(b,b)
|B| is in the same column as |b|	samecol(b,b)
Both |b| and |b| are in the same column	samecol(b,b)
|B| and |b| both are in the same column	samecol(b,b)
|B| and |b| are in the same column	samecol(b,b)
|E| is to the left of |a|	leftof(e,a)
Both |e| and |c| are in the same column	samecol(e,c)
|E| and |c| are both in the same column	samecol(e,c)
|E| is in the same column as |c|	samecol(e,c)
Both |e| and |c| are in the same column	samecol(e,c)
|E| and |c| both are in the same column	samecol(e,c)
|E| and |c| are in the same column	samecol(e,c)
|D| is in back of |b|	backof(d,b)
Y. is in front of y	frontof(y,y)
Y is in front of y	frontof(y,y)
|D| adjoins |b|	adjoins(d,b)
|E| is a tetrahedron	tet(e)
Both |e| and Y. are the same shape	sameshape(e,y)
Both |e| and y are the same shape	sameshape(e,y)
|E| and Y. are the same shape	sameshape(e,y)
Both |e| and Y. are the same shape	sameshape(e,y)
Both |e| and y are the same shape	sameshape(e,y)
|E| and y are the same shape	sameshape(e,y)
|E| is the same shape as y	sameshape(e,y)
|E| and y are both the same shape	sameshape(e,y)
|E| and Y. are both the same shape	sameshape(e,y)
|E| and y both are the same shape	sameshape(e,y)
|E| and Y. both are the same shape	sameshape(e,y)
|C| is smaller than |c|	smaller(c,c)
|F| and |c| both are in the same row	samerow(f,c)
|F| and |c| are in the same row	samerow(f,c)
Both |f| and |c| are in the same row	samerow(f,c)
|F| is in the same row as |c|	samerow(f,c)
Both |f| and |c| are in the same row	samerow(f,c)
|F| and |c| are both in the same row	samerow(f,c)
|A| and z are both the same size	samesize(a,z)
|A| and z are the same size	samesize(a,z)
|A| and z both are the same size	samesize(a,z)
|A| and Z. both are the same size	samesize(a,z)
|A| and Z. are the same size	samesize(a,z)
Both |a| and Z. are the same size	samesize(a,z)
|A| and Z. are both the same size	samesize(a,z)
Both |a| and z are the same size	samesize(a,z)
Both |a| and Z. are the same size	samesize(a,z)
Both |a| and z are the same size	samesize(a,z)
Y is smaller than |a|	smaller(y,a)
Y. is smaller than |a|	smaller(y,a)
|D| is larger than x	larger(d,x)
|A| is to the left of |e|	leftof(a,e)
|C| is to the left of |e|	leftof(c,e)
|E| is in the same row as |c|	samerow(e,c)
Both |e| and |c| are in the same row	samerow(e,c)
Both |e| and |c| are in the same row	samerow(e,c)
|E| and |c| both are in the same row	samerow(e,c)
|E| and |c| are in the same row	samerow(e,c)
|E| and |c| are both in the same row	samerow(e,c)
|B| is to the right of |a|	rightof(b,a)
|E| likes |b|	likes(e,b)
Z is to the right of |f|	rightof(z,f)
Z. is to the right of |f|	rightof(z,f)
Both z and |e| are the same size	samesize(z,e)
Both z and |e| are the same size	samesize(z,e)
Z. is the same size as |e|	samesize(z,e)
Both Z. and |e| are the same size	samesize(z,e)
Both Z. and |e| are the same size	samesize(z,e)
Z is the same size as |e|	samesize(z,e)
Z. and |e| both are the same size	samesize(z,e)
Z. and |e| are the same size	samesize(z,e)
Z and |e| are both the same size	samesize(z,e)
Z and |e| are the same size	samesize(z,e)
Z. and |e| are both the same size	samesize(z,e)
Z and |e| both are the same size	samesize(z,e)
Both |f| and z are in the same row	samerow(f,z)
|F| and Z. are both in the same row	samerow(f,z)
|F| and Z. both are in the same row	samerow(f,z)
|F| and Z. are in the same row	samerow(f,z)
Both |f| and Z. are in the same row	samerow(f,z)
|F| and z are in the same row	samerow(f,z)
Both |f| and Z. are in the same row	samerow(f,z)
|F| and z both are in the same row	samerow(f,z)
Both |f| and z are in the same row	samerow(f,z)
|F| and z are both in the same row	samerow(f,z)
|D| is in the same row as |e|	samerow(d,e)
Both |d| and |e| are in the same row	samerow(d,e)
|D| and |e| are both in the same row	samerow(d,e)
|D| and |e| both are in the same row	samerow(d,e)
|D| and |e| are in the same row	samerow(d,e)
Both |d| and |e| are in the same row	samerow(d,e)
|C| is in back of x	backof(c,x)
Y and |f| are the same size	samesize(y,f)
Y is the same size as |f|	samesize(y,f)
Y and |f| both are the same size	samesize(y,f)
Y. and |f| both are the same size	samesize(y,f)
Both y and |f| are the same size	samesize(y,f)
Y and |f| are both the same size	samesize(y,f)
Y. is the same size as |f|	samesize(y,f)
Y. and |f| are the same size	samesize(y,f)
Both y and |f| are the same size	samesize(y,f)
Both Y. and |f| are the same size	samesize(y,f)
Y. and |f| are both the same size	samesize(y,f)
Both Y. and |f| are the same size	samesize(y,f)
|E| adjoins |c|	adjoins(e,c)
Y is in the same column as |e|	samecol(y,e)
Both y and |e| are in the same column	samecol(y,e)
Both y and |e| are in the same column	samecol(y,e)
Y. is in the same column as |e|	samecol(y,e)
Both Y. and |e| are in the same column	samecol(y,e)
Y. and |e| are both in the same column	samecol(y,e)
Y and |e| are both in the same column	samecol(y,e)
Y. and |e| both are in the same column	samecol(y,e)
Y and |e| both are in the same column	samecol(y,e)
Both Y. and |e| are in the same column	samecol(y,e)
Y and |e| are in the same column	samecol(y,e)
Y. and |e| are in the same column	samecol(y,e)
|B| is larger than x	larger(b,x)
|A| is larger than |e|	larger(a,e)
X is to the left of |d|	leftof(x,d)
X. is to the left of |d|	leftof(x,d)
Z and |f| are both in the same row	samerow(z,f)
Z. and |f| are both in the same row	samerow(z,f)
Z and |f| both are in the same row	samerow(z,f)
Z. and |f| both are in the same row	samerow(z,f)
Z is in the same row as |f|	samerow(z,f)
Z and |f| are in the same row	samerow(z,f)
Both Z. and |f| are in the same row	samerow(z,f)
Both Z. and |f| are in the same row	samerow(z,f)
Both z and |f| are in the same row	samerow(z,f)
Z. and |f| are in the same row	samerow(z,f)
Both z and |f| are in the same row	samerow(z,f)
Z. is in the same row as |f|	samerow(z,f)
|C| is to the right of |d|	rightof(c,d)
Both |f| and |e| are in the same column	samecol(f,e)
|F| and |e| are both in the same column	samecol(f,e)
|F| is in the same column as |e|	samecol(f,e)
|F| and |e| are in the same column	samecol(f,e)
Both |f| and |e| are in the same column	samecol(f,e)
|F| and |e| both are in the same column	samecol(f,e)
Both |b| and x are the same size	samesize(b,x)
Both |b| and x are the same size	samesize(b,x)
|B| and x are the same size	samesize(b,x)
|B| and X. both are the same size	samesize(b,x)
|B| and X. are the same size	samesize(b,x)
|B| and x both are the same size	samesize(b,x)
Both |b| and X. are the same size	samesize(b,x)
|B| and x are both the same size	samesize(b,x)
Both |b| and X. are the same size	samesize(b,x)
|B| is the same size as x	samesize(b,x)
|B| and X. are both the same size	samesize(b,x)
Y. is to the right of |b|	rightof(y,b)
Y is to the right of |b|	rightof(y,b)
|B| is in back of |e|	backof(b,e)
|E| and z are both in the same row	samerow(e,z)
|E| and z both are in the same row	samerow(e,z)
|E| and z are in the same row	samerow(e,z)
|E| and Z. are both in the same row	samerow(e,z)
Both |e| and z are in the same row	samerow(e,z)
|E| and Z. both are in the same row	samerow(e,z)
Both |e| and z are in the same row	samerow(e,z)
Both |e| and Z. are in the same row	samerow(e,z)
|E| and Z. are in the same row	samerow(e,z)
Both |e| and Z. are in the same row	samerow(e,z)
Y is a dodecahedron	dodec(y)
Y. is a dodecahedron	dodec(y)
Both |c| and |b| are in the same column	samecol(c,b)
|C| and |b| are in the same column	samecol(c,b)
|C| and |b| both are in the same column	samecol(c,b)
|C| and |b| are both in the same column	samecol(c,b)
|C| is in the same column as |b|	samecol(c,b)
Both |c| and |b| are in the same column	samecol(c,b)
|A| adjoins y	adjoins(a,y)
|A| and X. both are the same shape	sameshape(a,x)
|A| and x are both the same shape	sameshape(a,x)
|A| and X. are the same shape	sameshape(a,x)
